IID,Subsistence,Collection,Sex,ForamenMagnumS,ForamenMagnumT,BicondylarBreadth,DepthEOP,LambdaInion,NuchalCrest,NuchalLine,GeneralForm
5,Agriculture,Military,Male,NA,NA,NA,8.95333333333333,65.3166666666667,1,5,3
6,Agriculture,Military,Male,34.4233333333333,30.8833333333333,49.4233333333333,7.96333333333333,53.6933333333333,1,4,2
9,Agriculture,Military,Male,37.8333333333333,34.2033333333333,52.11,5.78333333333333,57.6566666666667,0,4,2
10,Agriculture,Military,Male,34.4866666666667,32.29,52.9966666666667,4.20666666666667,69.1133333333333,1,4,2
12,Agriculture,Military,Male,35.9966666666667,31.3266666666667,48.32,3.00333333333333,68.64,1,4,1
13,Agriculture,Military,Male,NA,NA,NA,5.29666666666667,64.8,0,2,1
14,Agriculture,Military,Male,39.32,33.9066666666667,49.4766666666667,5.36333333333333,72.5,0,2,1
15,Agriculture,Military,Male,42.1833333333333,32.0266666666667,55.55,5.26333333333333,70.0033333333333,0,4,3
16,Agriculture,Military,Male,32.9566666666667,27.4866666666667,46.5533333333333,7.73666666666667,55.31,1,5,3
17,Agriculture,Military,Male,41.5033333333333,35.73,55.1633333333333,8.00333333333333,73.6366666666667,1,5,4
18,Agriculture,Military,Male,34.7733333333333,33.1833333333333,50.03,5.81666666666667,73.5733333333333,0,4,2
19,Agriculture,Military,Male,33.41,32.09,51.0633333333333,6.75333333333333,64.73,1,4,2
L1,Agriculture,FSUTC,Male,38.3033333333333,31.5733333333333,50.1166666666667,8.5,60.36,1,5,3
L10,Agriculture,FSUTC,Male,36.52,35.79,50.6,5.06666666666667,65.1466666666667,1,4,2
L11,Agriculture,FSUTC,Female,37.6566666666667,29.0133333333333,51.4933333333333,5.18333333333333,64.6,0,4,2
L12,Agriculture,FSUTC,Male,35.8966666666667,29.3033333333333,51.16,6.05,62.7,0,3,2
L13,Agriculture,FSUTC,Female,37.02,32.45,51.8133333333333,6.29666666666667,52.1466666666667,0,4,2
L14,Agriculture,FSUTC,Male,40.2366666666667,36.4333333333333,54.66,6.95,62.94,1,5,3
L16,Agriculture,FSUTC,Male,33.5766666666667,28.57,48.7466666666667,4.75333333333333,57.4466666666667,0,3,2
